epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.7924914956092834,0.10920683294534683,0.001,0.8622075915336609,0.43397459387779236
1,0.8020833134651184,0.08111000806093216,0.001,0.6209795475006104,1.769843339920044
2,0.805635392665863,0.06984822452068329,0.001,0.832602322101593,0.3765556514263153
3,0.8065400123596191,0.06073200702667236,0.001,0.9276315569877625,0.13237690925598145
4,0.8048504590988159,0.054907526820898056,0.001,0.9444444179534912,0.09729275852441788
5,0.8035999536514282,0.04907744377851486,0.001,0.5328947305679321,6.289283752441406
6,0.8012319207191467,0.045249223709106445,0.001,0.9046052694320679,0.12080729007720947
7,0.799994707107544,0.041814349591732025,0.001,0.9210526347160339,0.12569250166416168
8,0.7985180020332336,0.03853755444288254,0.001,0.949195921421051,0.10124051570892334
9,0.7963894009590149,0.035557787865400314,0.001,0.9279970526695251,0.09800870716571808
10,0.790628969669342,0.022751029580831528,0.000100000005,0.9232456088066101,0.08220391720533371
11,0.7844694256782532,0.01742815412580967,0.000100000005,0.9137426614761353,0.09046667814254761
12,0.7806646227836609,0.01465662196278572,0.000100000005,0.9046052694320679,0.10103683918714523
13,0.7778708934783936,0.01268311869353056,0.000100000005,0.9024122953414917,0.11090466380119324
14,0.7756625413894653,0.010881548747420311,0.000100000005,0.9181286692619324,0.12811239063739777
15,0.7727623581886292,0.009623692370951176,0.000100000005,0.9013158082962036,0.1351342350244522
16,0.77519690990448,0.007437031716108322,1.0000001e-05,0.905701756477356,0.13816727697849274
17,0.7741991281509399,0.006862815003842115,1.0000001e-05,0.902046799659729,0.14157064259052277
18,0.772988498210907,0.006517503876239061,1.0000001e-05,0.9009503126144409,0.14563818275928497
19,0.7726026773452759,0.006216865032911301,1.0000001e-05,0.9024122953414917,0.1491709202528
20,0.7716980576515198,0.005943736061453819,1.0000001e-05,0.8998538255691528,0.15296587347984314
